"Type","Category","Date","Annual.total","Average.households","value"
"Income","salary ",2015-01-01,43100,38500,3400
"Income","interest income ",2015-01-01,360,750,90
"Income","pesnion",2015-01-01,1800,6000,150
"Income","stock dividend ",2015-01-01,4350,3800,2800
"expenditures","rent",2015-01-01,14400,15000,1200
"expenditures","lending rates",2015-01-01,524,600,50
"expenditures","loan interest",2015-01-01,1080,1300,90
"expenditures","food",2015-01-01,4133,4000,250
"expenditures","gas",2015-01-01,1420,4000,100
"expenditures","car insurance ",2015-01-01,960,1500,240
"expenditures","clothes",2015-01-01,2703,1500,50
"expenditures","shoes",2015-01-01,1055,700,150
"expenditures","school for children",2015-01-01,1220,300,90
"expenditures","homeowner´s insurance",2015-01-01,540,650,45
"expenditures","bank charges",2015-01-01,180,200,15
"expenditures","water",2015-01-01,960,750,80
"expenditures","electricity ",2015-01-01,1080,1008,90
"expenditures","heater",2015-01-01,1320,950,110
"expenditures","cinema ",2015-01-01,90,70,25
"expenditures","restaurant",2015-01-01,1445,1560,75
"expenditures","entertainment",2015-01-01,6145,3120,89
"expenditures","health care ",2015-01-01,1280,1200,150
"surplus","surplus",2015-01-01,10355,17019,3691
"Income","salary ",2015-02-01,43100,38500,3400
"Income","interest income ",2015-02-01,360,750,0
"Income","pesnion",2015-02-01,1800,6000,150
"Income","stock dividend ",2015-02-01,4350,3800,0
"expenditures","rent",2015-02-01,14400,15000,1200
"expenditures","lending rates",2015-02-01,524,600,50
"expenditures","loan interest",2015-02-01,1080,1300,90
"expenditures","food",2015-02-01,4133,4000,300
"expenditures","gas",2015-02-01,1420,4000,90
"expenditures","car insurance ",2015-02-01,960,1500,0
"expenditures","clothes",2015-02-01,2703,1500,70
"expenditures","shoes",2015-02-01,1055,700,0
"expenditures","school for children",2015-02-01,1220,300,70
"expenditures","homeowner´s insurance",2015-02-01,540,650,45
"expenditures","bank charges",2015-02-01,180,200,15
"expenditures","water",2015-02-01,960,750,80
"expenditures","electricity ",2015-02-01,1080,1008,90
"expenditures","heater",2015-02-01,1320,950,110
"expenditures","cinema ",2015-02-01,90,70,0
"expenditures","restaurant",2015-02-01,1445,1560,120
"expenditures","entertainment",2015-02-01,6145,3120,80
"expenditures","health care ",2015-02-01,1280,1200,130
"surplus","surplus",2015-02-01,10355,17019,1140
"Income","salary ",2015-03-01,43100,38500,3400
"Income","interest income ",2015-03-01,360,750,0
"Income","pesnion",2015-03-01,1800,6000,150
"Income","stock dividend ",2015-03-01,4350,3800,0
"expenditures","rent",2015-03-01,14400,15000,1200
"expenditures","lending rates",2015-03-01,524,600,47
"expenditures","loan interest",2015-03-01,1080,1300,90
"expenditures","food",2015-03-01,4133,4000,340
"expenditures","gas",2015-03-01,1420,4000,110
"expenditures","car insurance ",2015-03-01,960,1500,0
"expenditures","clothes",2015-03-01,2703,1500,200
"expenditures","shoes",2015-03-01,1055,700,200
"expenditures","school for children",2015-03-01,1220,300,40
"expenditures","homeowner´s insurance",2015-03-01,540,650,45
"expenditures","bank charges",2015-03-01,180,200,15
"expenditures","water",2015-03-01,960,750,80
"expenditures","electricity ",2015-03-01,1080,1008,90
"expenditures","heater",2015-03-01,1320,950,110
"expenditures","cinema ",2015-03-01,90,70,20
"expenditures","restaurant",2015-03-01,1445,1560,140
"expenditures","entertainment",2015-03-01,6145,3120,95
"expenditures","health care ",2015-03-01,1280,1200,100
"surplus","surplus",2015-03-01,10355,17019,728
